seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,ipfs_add,true,65,1783267990640,149047,,true
2,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,signed_posttask,true,3,1783267990705,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
3,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,signed_postallocation,true,1,1783267990708,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
4,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,signed_post_evalsnapshot,true,2,1783267990709,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
5,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,signed_vote1,true,1,1783267990711,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
6,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,signed_vote2,true,2,1783267990712,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
7,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,signed_settlement,true,1,1783267990714,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
8,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,signed_query_latest,true,0,1783267990715,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
9,e6-lifecycle-20260705T161310.625822969Z-c8-real-warmup-0000,ipfs_verify,true,7,1783267990715,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
10,e6-lifecycle-20260705T161310.625822969Z-c8-real-task-0032,ipfs_add,true,25,1783267990727,23072,,false
11,e6-lifecycle-20260705T161310.625822969Z-c8-real-task-0032,signed_posttask,true,3,1783267990752,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
12,e6-lifecycle-20260705T161310.625822969Z-c8-real-task-0032,signed_postallocation,true,2,1783267990755,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
13,e6-lifecycle-20260705T161310.625822969Z-c8-real-task-0032,signed_post_evalsnapshot,true,2,1783267990757,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
14,e6-lifecycle-20260705T161310.625822969Z-c8-real-task-0032,signed_vote1,true,1,1783267990759,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
15,e6-lifecycle-20260705T161310.625822969Z-c8-real-task-0032,signed_vote2,true,2,1783267990760,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
