run_id,pair_id,protocol,nodes,delay_ms,fault,repeat,driver_success_rate,client_latency_p50_ms,client_latency_p95_ms,client_latency_p99_ms,node_commit_completeness,final_protocol_messages_sent,final_protocol_bytes_sent,max_accepted_view,recovered_sequence_count,recovery_latency_p50_ms,safety_violation_events,conflicting_commit_count,invalid_view_change_events,invalid_new_view_events,reputation_order,group_map,group_leaders,l_gl,runtime_grouping_verified,peak_aggregate_memory_bytes,peak_aggregate_cpu_percent,peak_aggregate_network_bytes
b4-m24-d5-f2-r5-pbft-groupingv2,b4-m24-d5-f2-r5,pbft,24,5,f2,5,1.0,2256.563326,2256.563326,2256.563326,0.9583333333333334,1438,501411,1,1,138.845483,0,0,0,0,,,,,False,380182189,117.15,2227100
b4-m24-d5-f2-r5-rgg-groupingv2,b4-m24-d5-f2-r5,rgg,24,5,f2,5,1.0,2130.478768,2130.478768,2130.478768,0.9583333333333334,349,199370,1,1,107.173722,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,341657506,54.09,1532730
b4-m24-d5-f3-r5-pbft-groupingv2,b4-m24-d5-f3-r5,pbft,24,5,f3,5,1.0,2241.48834,2241.48834,2241.48834,0.9583333333333334,1172,425563,1,1,151.47818,0,0,0,0,,,,,False,362466497,81.04,1537859
b4-m24-d5-f3-r5-rgg-groupingv2,b4-m24-d5-f3-r5,rgg,24,5,f3,5,1.0,2191.662801,2191.662801,2191.662801,0.9583333333333334,602,274079,1,1,89.197201,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,379973522,92.51,3790499
b4-m24-d5-f4-r5-pbft-groupingv2,b4-m24-d5-f4-r5,pbft,24,5,f4,5,1.0,2243.469505,2243.469505,2243.469505,1.0,1449,504673,1,1,137.965706,0,0,0,0,,,,,False,376544677,126.45000000000002,2198200
b4-m24-d5-f4-r5-rgg-groupingv2,b4-m24-d5-f4-r5,rgg,24,5,f4,5,1.0,105.31267,105.31267,105.31267,1.0,277,173357,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,7950303,0.75,19600
b4-m24-d5-f2l-r5-rgg-groupingv2,b4-m24-d5-f2l-r5,rgg,24,5,f2l,5,1.0,2212.672157,2212.672157,2212.672157,0.9583333333333334,604,274623,1,1,97.873782,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,375651288,124.39,1967900
b4-m24-d5-f5-r5-rgg-groupingv2,b4-m24-d5-f5-r5,rgg,24,5,f5,5,1.0,4155.678295,4155.678295,4155.678295,1.0,379,229231,2,1,2125.501298,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,334655116,47.86000000000001,1512580
b4-m16-d5-f1-r6-rgg-groupingv2,b4-m16-d5-f1-r6,rgg,16,5,f1,6,1.0,625.626822,625.626822,625.626822,0.9375,166,116639,1,1,97.826922,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,250497460,70.88,1108480
b4-m16-d5-f1-r6-pbft-groupingv2,b4-m16-d5-f1-r6,pbft,16,5,f1,6,1.0,622.004244,622.004244,622.004244,0.9375,479,181520,1,1,106.201733,0,0,0,0,,,,,False,267910112,119.48999999999998,1633510
b4-m16-d5-f2-r6-rgg-groupingv2,b4-m16-d5-f2-r6,rgg,16,5,f2,6,1.0,614.487819,614.487819,614.487819,0.9375,173,118632,1,1,75.080895,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,253360070,67.36,1098860
b4-m16-d5-f2-r6-pbft-groupingv2,b4-m16-d5-f2-r6,pbft,16,5,f2,6,1.0,687.757254,687.757254,687.757254,0.9375,638,226841,1,1,116.687093,0,0,0,0,,,,,False,269376019,101.53000000000002,1955360
b4-m16-d5-f3-r6-rgg-groupingv2,b4-m16-d5-f3-r6,rgg,16,5,f3,6,1.0,700.780422,700.780422,700.780422,0.9375,283,152646,1,1,109.216664,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,253454443,63.680000000000014,1290910
b4-m16-d5-f3-r6-pbft-groupingv2,b4-m16-d5-f3-r6,pbft,16,5,f3,6,1.0,677.159803,677.159803,677.159803,0.9375,524,194381,1,1,114.928143,0,0,0,0,,,,,False,267525283,107.84,1713680
b4-m16-d5-f4-r6-rgg-groupingv2,b4-m16-d5-f4-r6,rgg,16,5,f4,6,1.0,661.378628,661.378628,661.378628,1.0,243,153805,1,1,128.181602,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,253236341,102.63999999999999,1329720
b4-m16-d5-f4-r6-pbft-groupingv2,b4-m16-d5-f4-r6,pbft,16,5,f4,6,1.0,694.20738,694.20738,694.20738,1.0,645,228918,1,1,107.697893,0,0,0,0,,,,,False,267297744,113.32,1982770
b4-m16-d5-f2l-r6-rgg-groupingv2,b4-m16-d5-f2l-r6,rgg,16,5,f2l,6,1.0,671.668417,671.668417,671.668417,0.9375,280,151770,1,1,95.307573,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,254059469,53.800000000000004,1331980
b4-m16-d5-f5-r6-rgg-groupingv2,b4-m16-d5-f5-r6,rgg,16,5,f5,6,1.0,1115.733959,1115.733959,1115.733959,1.0,195,139068,2,1,590.832855,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,253133578,98.11999999999999,1605860
b4-m24-d5-f1-r6-rgg-groupingv2,b4-m24-d5-f1-r6,rgg,24,5,f1,6,1.0,2144.519067,2144.519067,2144.519067,0.9583333333333334,338,196235,1,1,112.410613,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,334219957,46.98,1535210
