run_id,pair_id,protocol,nodes,delay_ms,fault,repeat,driver_success_rate,client_latency_p50_ms,client_latency_p95_ms,client_latency_p99_ms,node_commit_completeness,final_protocol_messages_sent,final_protocol_bytes_sent,max_accepted_view,recovered_sequence_count,recovery_latency_p50_ms,safety_violation_events,conflicting_commit_count,invalid_view_change_events,invalid_new_view_events,reputation_order,group_map,group_leaders,l_gl,runtime_grouping_verified,peak_aggregate_memory_bytes,peak_aggregate_cpu_percent,peak_aggregate_network_bytes
b5-m24-d20-none-r2-rgg-groupingv2,b5-m24-d20-none-r2,rgg,24,20,none,2,1.0,183.008596,195.204538,195.204538,1.0,7460,4037939,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,401525955,206.43999999999994,22423000
b5-m24-d20-none-r2-pbft-groupingv2,b5-m24-d20-none-r2,pbft,24,20,none,2,1.0,144.136627,159.588282,159.588282,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,425380005,468.8799999999999,8654750
b5-m16-d5-none-r3-pbft-groupingv2,b5-m16-d5-none-r3,pbft,16,5,none,3,1.0,63.776486,74.731026,74.731026,1.0,9900,2826450,0,0,,0,0,0,0,,,,,False,284012043,459.64,7192600
b5-m16-d5-none-r3-rgg-groupingv2,b5-m16-d5-none-r3,rgg,16,5,none,3,1.0,67.843968,75.507663,75.507663,1.0,3780,2415147,0,0,,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,260970635,303.3,4671560
b5-m20-d5-none-r3-pbft-groupingv2,b5-m20-d5-none-r3,pbft,20,5,none,3,1.0,81.967314,95.239952,95.239952,1.0,15580,4449610,0,0,,0,0,0,0,,,,,False,353321868,471.09999999999997,6696640
b5-m20-d5-none-r3-rgg-groupingv2,b5-m20-d5-none-r3,rgg,20,5,none,3,1.0,72.575047,86.331849,86.331849,1.0,5460,3181384,0,0,,0,0,0,0,"2,10,13,11,5,1,16,0,9,17,12,6,18,14,3,8,19,7,15,4","{""0"": 3, ""1"": 1, ""10"": 1, ""11"": 3, ""12"": 2, ""13"": 2, ""14"": 1, ""15"": 2, ""16"": 2, ""17"": 1, ""18"": 0, ""19"": 0, ""2"": 0, ""3"": 2, ""4"": 3, ""5"": 0, ""6"": 3, ""7"": 1, ""8"": 3, ""9"": 0}","{""0"": 2, ""1"": 10, ""2"": 13, ""3"": 11}","[2, 10, 13, 11]",True,325174942,335.03999999999996,5097470
b5-m24-d5-none-r3-pbft-groupingv2,b5-m24-d5-none-r3,pbft,24,5,none,3,1.0,107.919379,127.696624,127.696624,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,422617009,497.87,9418060
b5-m24-d5-none-r3-rgg-groupingv2,b5-m24-d5-none-r3,rgg,24,5,none,3,1.0,83.487998,88.924037,88.924037,1.0,7460,4037847,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,391024462,299.07000000000005,5285060
b5-m24-d0-none-r3-pbft-groupingv2,b5-m24-d0-none-r3,pbft,24,0,none,3,1.0,94.838432,110.428951,110.428951,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,420089942,467.18999999999994,9086160
b5-m24-d0-none-r3-rgg-groupingv2,b5-m24-d0-none-r3,rgg,24,0,none,3,1.0,61.087806,65.681368,65.681368,1.0,7460,4038140,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,390121642,340.39,6393940
b5-m24-d20-none-r3-pbft-groupingv2,b5-m24-d20-none-r3,pbft,24,20,none,3,1.0,142.356112,155.368472,155.368472,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,420465333,382.09999999999997,7104050
b5-m24-d20-none-r3-rgg-groupingv2,b5-m24-d20-none-r3,rgg,24,20,none,3,1.0,183.040659,196.058034,196.058034,1.0,7460,4037969,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,401720989,236.31,22406000
b5-m16-d5-none-r4-rgg-groupingv2,b5-m16-d5-none-r4,rgg,16,5,none,4,1.0,68.205133,79.109852,79.109852,1.0,3780,2415156,0,0,,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,259878017,295.56000000000006,4012220
b5-m16-d5-none-r4-pbft-groupingv2,b5-m16-d5-none-r4,pbft,16,5,none,4,1.0,66.748896,79.709559,79.709559,1.0,9900,2826450,0,0,,0,0,0,0,,,,,False,279885896,480.83,7446500
b5-m20-d5-none-r4-rgg-groupingv2,b5-m20-d5-none-r4,rgg,20,5,none,4,1.0,73.882194,82.94792,82.94792,1.0,5460,3181394,0,0,,0,0,0,0,"2,10,13,11,5,1,16,0,9,17,12,6,18,14,3,8,19,7,15,4","{""0"": 3, ""1"": 1, ""10"": 1, ""11"": 3, ""12"": 2, ""13"": 2, ""14"": 1, ""15"": 2, ""16"": 2, ""17"": 1, ""18"": 0, ""19"": 0, ""2"": 0, ""3"": 2, ""4"": 3, ""5"": 0, ""6"": 3, ""7"": 1, ""8"": 3, ""9"": 0}","{""0"": 2, ""1"": 10, ""2"": 13, ""3"": 11}","[2, 10, 13, 11]",True,324585643,304.95000000000005,4647610
b5-m20-d5-none-r4-pbft-groupingv2,b5-m20-d5-none-r4,pbft,20,5,none,4,1.0,85.248974,98.051875,98.051875,1.0,15580,4449610,0,0,,0,0,0,0,,,,,False,358019484,557.0499999999998,8386940
b5-m24-d5-none-r4-rgg-groupingv2,b5-m24-d5-none-r4,rgg,24,5,none,4,1.0,83.774486,87.227567,87.227567,1.0,7460,4037778,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,389472573,332.03999999999996,5929390
b5-m24-d5-none-r4-pbft-groupingv2,b5-m24-d5-none-r4,pbft,24,5,none,4,1.0,111.092396,126.827161,126.827161,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,421355572,515.47,8609470
b5-m24-d0-none-r4-rgg-groupingv2,b5-m24-d0-none-r4,rgg,24,0,none,4,1.0,60.709851,70.97544,70.97544,1.0,7460,4037856,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,392323651,358.90000000000003,6412440
b5-m24-d0-none-r4-pbft-groupingv2,b5-m24-d0-none-r4,pbft,24,0,none,4,1.0,96.89097,120.564558,120.564558,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,424876691,518.9499999999999,8289580
b5-m24-d20-none-r4-rgg-groupingv2,b5-m24-d20-none-r4,rgg,24,20,none,4,1.0,181.305741,191.066451,191.066451,1.0,7460,4037801,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,401437874,224.35,22335000
b5-m24-d20-none-r4-pbft-groupingv2,b5-m24-d20-none-r4,pbft,24,20,none,4,1.0,145.1177,161.94391,161.94391,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,424170998,451.0300000000001,7965740
b5-m16-d5-none-r5-pbft-groupingv2,b5-m16-d5-none-r5,pbft,16,5,none,5,1.0,62.425018,68.475474,68.475474,1.0,9900,2826450,0,0,,0,0,0,0,,,,,False,283540185,473.30999999999995,7429400
b5-m16-d5-none-r5-rgg-groupingv2,b5-m16-d5-none-r5,rgg,16,5,none,5,1.0,69.454262,75.647088,75.647088,1.0,3780,2415156,0,0,,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,264902794,310.57,5493300
b5-m20-d5-none-r5-pbft-groupingv2,b5-m20-d5-none-r5,pbft,20,5,none,5,1.0,85.659796,110.265744,110.265744,1.0,15580,4449610,0,0,,0,0,0,0,,,,,False,354429164,532.6999999999999,7640610
b5-m20-d5-none-r5-rgg-groupingv2,b5-m20-d5-none-r5,rgg,20,5,none,5,1.0,72.04087,77.863928,77.863928,1.0,5460,3181420,0,0,,0,0,0,0,"2,10,13,11,5,1,16,0,9,17,12,6,18,14,3,8,19,7,15,4","{""0"": 3, ""1"": 1, ""10"": 1, ""11"": 3, ""12"": 2, ""13"": 2, ""14"": 1, ""15"": 2, ""16"": 2, ""17"": 1, ""18"": 0, ""19"": 0, ""2"": 0, ""3"": 2, ""4"": 3, ""5"": 0, ""6"": 3, ""7"": 1, ""8"": 3, ""9"": 0}","{""0"": 2, ""1"": 10, ""2"": 13, ""3"": 11}","[2, 10, 13, 11]",True,325940403,394.5900000000001,5439970
b5-m24-d5-none-r5-pbft-groupingv2,b5-m24-d5-none-r5,pbft,24,5,none,5,1.0,113.109754,133.663884,133.663884,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,421459383,482.05999999999995,8139120
b5-m24-d5-none-r5-rgg-groupingv2,b5-m24-d5-none-r5,rgg,24,5,none,5,1.0,82.906664,94.697668,94.697668,1.0,7460,4038010,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,393047166,355.94,6506520
b5-m24-d0-none-r5-pbft-groupingv2,b5-m24-d0-none-r5,pbft,24,0,none,5,1.0,93.683656,116.888841,116.888841,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,427449897,517.56,9445540
b5-m24-d0-none-r5-rgg-groupingv2,b5-m24-d0-none-r5,rgg,24,0,none,5,1.0,60.70053,65.891729,65.891729,1.0,7460,4037940,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,390973083,320.49000000000007,6019740
b5-m24-d20-none-r5-pbft-groupingv2,b5-m24-d20-none-r5,pbft,24,20,none,5,1.0,144.746675,162.856891,162.856891,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,425275150,468.70000000000005,8622010
b5-m24-d20-none-r5-rgg-groupingv2,b5-m24-d20-none-r5,rgg,24,20,none,5,1.0,181.52009,190.455964,190.455964,1.0,7460,4037886,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,401901343,209.97,22752000
b5-m16-d5-none-r6-rgg-groupingv2,b5-m16-d5-none-r6,rgg,16,5,none,6,1.0,90.801969,96.485498,96.485498,1.0,3780,2415167,0,0,,0,0,0,0,"10,8,1,9,0,4,15,6,13,7,2,11,12,14,5,3","{""0"": 0, ""1"": 2, ""10"": 0, ""11"": 3, ""12"": 0, ""13"": 0, ""14"": 1, ""15"": 2, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 2, ""6"": 3, ""7"": 1, ""8"": 1, ""9"": 3}","{""0"": 10, ""1"": 8, ""2"": 1, ""3"": 9}","[10, 8, 1, 9]",True,265138725,420.00999999999993,7361700
b5-m16-d5-none-r6-pbft-groupingv2,b5-m16-d5-none-r6,pbft,16,5,none,6,1.0,101.348939,120.187024,120.187024,1.0,9900,2826450,0,0,,0,0,0,0,,,,,False,282423451,685.43,9483900
b5-m20-d5-none-r6-rgg-groupingv2,b5-m20-d5-none-r6,rgg,20,5,none,6,1.0,73.122272,79.933514,79.933514,1.0,5460,3181413,0,0,,0,0,0,0,"2,10,13,11,5,1,16,0,9,17,12,6,18,14,3,8,19,7,15,4","{""0"": 3, ""1"": 1, ""10"": 1, ""11"": 3, ""12"": 2, ""13"": 2, ""14"": 1, ""15"": 2, ""16"": 2, ""17"": 1, ""18"": 0, ""19"": 0, ""2"": 0, ""3"": 2, ""4"": 3, ""5"": 0, ""6"": 3, ""7"": 1, ""8"": 3, ""9"": 0}","{""0"": 2, ""1"": 10, ""2"": 13, ""3"": 11}","[2, 10, 13, 11]",True,326467836,399.02000000000004,5651440
b5-m20-d5-none-r6-pbft-groupingv2,b5-m20-d5-none-r6,pbft,20,5,none,6,1.0,84.978223,91.071924,91.071924,1.0,15580,4449610,0,0,,0,0,0,0,,,,,False,345279287,527.8499999999999,7534316
b5-m24-d5-none-r6-rgg-groupingv2,b5-m24-d5-none-r6,rgg,24,5,none,6,1.0,82.471241,92.073733,92.073733,1.0,7460,4037785,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,388548775,331.75000000000006,5329540
b5-m24-d5-none-r6-pbft-groupingv2,b5-m24-d5-none-r6,pbft,24,5,none,6,1.0,105.521337,125.910229,125.910229,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,424046219,499.53000000000003,8467990
b5-m24-d0-none-r6-rgg-groupingv2,b5-m24-d0-none-r6,rgg,24,0,none,6,1.0,61.358333,77.617877,77.617877,1.0,7460,4038122,0,0,,0,0,0,0,"17,2,16,15,8,14,1,18,23,22,7,12,9,5,13,6,20,3,19,21,11,0,10,4","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 0, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 3, ""16"": 2, ""17"": 0, ""18"": 3, ""19"": 2, ""2"": 1, ""20"": 0, ""21"": 3, ""22"": 1, ""23"": 0, ""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 0, ""9"": 0}","{""0"": 17, ""1"": 2, ""2"": 16, ""3"": 15}","[17, 2, 16, 15]",True,389320526,384.29,6466300
b5-m24-d0-none-r6-pbft-groupingv2,b5-m24-d0-none-r6,pbft,24,0,none,6,1.0,95.152094,112.894604,112.894604,1.0,22540,6438850,0,0,,0,0,0,0,,,,,False,421473013,503.21000000000004,9089890
