seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,ipfs_add,true,30,1783315236169,905155,,true
2,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,signed_posttask,true,2,1783315236199,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
3,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,signed_postallocation,true,5,1783315236201,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
4,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,2,1783315236206,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
5,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,signed_vote1,true,1,1783315236208,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
6,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,signed_vote2,true,2,1783315236209,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
7,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,signed_settlement,true,1,1783315236211,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
8,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,signed_query_latest,true,0,1783315236212,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
9,e6-lifecycle-20260706T052036.152438359Z-c4-real-warmup-0000,ipfs_verify,true,12,1783315236212,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
10,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,ipfs_add,true,29,1783315236231,905155,,false
11,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,signed_posttask,true,3,1783315236260,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
12,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,signed_postallocation,true,2,1783315236263,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
13,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,signed_post_evalsnapshot,true,2,1783315236265,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
14,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,signed_vote1,true,1,1783315236267,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
15,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,signed_vote2,true,2,1783315236268,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
16,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,signed_settlement,true,1,1783315236270,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
17,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,signed_query_latest,true,0,1783315236271,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
18,e6-lifecycle-20260706T052036.152438359Z-c4-real-task-0000,ipfs_verify,true,14,1783315236271,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
