seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,ipfs_add,true,24,1783271282125,149047,,true
2,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,signed_posttask,true,2,1783271282149,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
3,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,signed_postallocation,true,2,1783271282151,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
4,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,1,1783271282153,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
5,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,signed_vote1,true,2,1783271282154,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
6,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,signed_vote2,true,1,1783271282156,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
7,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,signed_settlement,true,1,1783271282157,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
8,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,signed_query_latest,true,0,1783271282158,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
9,e6-lifecycle-20260705T170802.114155617Z-c4-real-warmup-0000,ipfs_verify,true,7,1783271282158,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
10,e6-lifecycle-20260705T170802.114155617Z-c4-real-task-0032,ipfs_add,true,23,1783271282169,23072,,false
11,e6-lifecycle-20260705T170802.114155617Z-c4-real-task-0032,signed_posttask,true,3,1783271282192,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
12,e6-lifecycle-20260705T170802.114155617Z-c4-real-task-0032,signed_postallocation,true,2,1783271282195,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
13,e6-lifecycle-20260705T170802.114155617Z-c4-real-task-0032,signed_post_evalsnapshot,true,1,1783271282197,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
14,e6-lifecycle-20260705T170802.114155617Z-c4-real-task-0032,signed_vote1,true,2,1783271282198,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
15,e6-lifecycle-20260705T170802.114155617Z-c4-real-task-0032,signed_vote2,true,1,1783271282200,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
