scenario,strategy,count,honest_p,byz_exploit_p,obs_error_p,cold_start_exclusion_rate,post_exposure_miss_rate,mean_post_exposure_first_exclusion_delay,p50_post_exposure_first_exclusion_delay,p95_post_exposure_first_exclusion_delay,mean_stable_h3_delay,stable_h3_miss_rate,mean_stable_h5_delay,stable_h5_miss_rate,mean_post_attack_miss_rate,mean_re_entry_count,mean_honest_demotion_rate,mean_byzantine_leader_rounds
P_T1_h095_b050_e00,decay-99,100,0.95,0.5,0.0,0.045,0.0,0.7958115183246073,0,3,0.7958115183246073,0.0,0.7958115183246073,0.0,0.01368421052631579,0.0,0.4425850285395345,6.21
P_T1_h095_b050_e00,sliding-w-10,100,0.95,0.5,0.0,0.035,0.0,0.8652849740932642,0,3,0.8652849740932642,0.0,0.8652849740932642,0.0,0.016,0.09,0.47018171493586114,6.43
P_T1_h095_b050_e00,sliding-w-20,100,0.95,0.5,0.0,0.045,0.0,0.7958115183246073,0,3,0.8167539267015707,0.0,0.8167539267015707,0.0,0.013999999999999999,0.01,0.46906356734488847,6.24
P_T1_h095_b050_e00,sliding-w-5,100,0.95,0.5,0.0,0.0,0.0,1.24,0,4,1.28,0.0,1.28,0.0,0.08273684210526316,3.16,0.43634488267923677,12.77
P_T1_h095_b050_e02,cumulative,100,0.95,0.5,0.02,0.095,0.0,0.850828729281768,0,3,0.850828729281768,0.0,0.8729281767955801,0.0,0.014631578947368419,0.01,0.44697460686407703,6.22
P_T1_h095_b050_e02,decay-90,100,0.95,0.5,0.02,0.095,0.0,0.8453038674033149,0,3,0.8453038674033149,0.0,0.8453038674033149,0.0,0.014421052631578947,0.0,0.465902599117768,6.2
P_T1_h095_b050_e02,decay-95,100,0.95,0.5,0.02,0.095,0.0,0.8453038674033149,0,3,0.8453038674033149,0.0,0.8453038674033149,0.0,0.014421052631578947,0.0,0.4658970987322706,6.2
P_T1_h095_b050_e02,decay-99,100,0.95,0.5,0.02,0.095,0.0,0.8453038674033149,0,3,0.8453038674033149,0.0,0.8453038674033149,0.0,0.014421052631578947,0.0,0.4554070513884807,6.2
P_T1_h095_b050_e02,sliding-w-10,100,0.95,0.5,0.02,0.08,0.0,1.6956521739130435,0,4,1.6956521739130435,0.0,1.7173913043478262,0.0,0.016736842105263158,0.11,0.4788719598970165,6.42
P_T1_h095_b050_e02,sliding-w-20,100,0.95,0.5,0.02,0.095,0.0,0.850828729281768,0,3,0.850828729281768,0.0,0.8729281767955801,0.0,0.014631578947368419,0.01,0.47542628945850524,6.22
P_T1_h095_b050_e02,sliding-w-5,100,0.95,0.5,0.02,0.005,0.0,2.040201005025126,0,5,2.0653266331658293,0.0,2.090452261306533,0.0,0.0688421052631579,2.61,0.4546708243614831,11.37
P_T1_h095_b050_e05,cumulative,100,0.95,0.5,0.05,0.105,0.0,0.8770949720670391,0,4,0.9217877094972067,0.0,1.0167597765363128,0.0,0.016526315789473684,0.07,0.4506358340581906,6.01
