seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,ipfs_add,true,32,1783314064062,179753,,true
2,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,signed_posttask,true,3,1783314064094,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
3,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,signed_postallocation,true,2,1783314064097,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
4,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,1,1783314064099,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
5,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,signed_vote1,true,1,1783314064100,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
6,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,signed_vote2,true,2,1783314064101,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
7,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,signed_settlement,true,1,1783314064103,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
8,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,signed_query_latest,true,0,1783314064104,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
9,e6-lifecycle-20260706T050104.046649594Z-c4-real-warmup-0000,ipfs_verify,true,7,1783314064104,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
10,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,ipfs_add,true,25,1783314064117,206175,,false
11,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,signed_posttask,true,3,1783314064142,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,false
12,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,signed_postallocation,true,3,1783314064145,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,false
13,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,signed_post_evalsnapshot,true,2,1783314064148,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,false
14,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,signed_vote1,true,1,1783314064150,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,false
15,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,signed_vote2,true,2,1783314064151,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,false
16,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,signed_settlement,true,1,1783314064153,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,false
17,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,signed_query_latest,true,0,1783314064154,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,false
18,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0000,ipfs_add,true,43,1783314064117,179753,,false
19,e6-lifecycle-20260706T050104.046649594Z-c4-real-task-0003,ipfs_verify,true,7,1783314064154,0,Qmamev5WXAQCfHswWTa1bzB5ordCAsuePoMpWk5btqYzEo,false
