seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,ipfs_add,true,25,1783268577638,149047,,true
2,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,signed_posttask,true,3,1783268577663,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
3,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,signed_postallocation,true,1,1783268577666,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
4,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,2,1783268577667,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
5,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,signed_vote1,true,1,1783268577669,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
6,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,signed_vote2,true,1,1783268577670,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
7,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,signed_settlement,true,2,1783268577671,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
8,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,signed_query_latest,true,0,1783268577673,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
9,e6-lifecycle-20260705T162257.628273009Z-c4-real-warmup-0000,ipfs_verify,true,7,1783268577673,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
10,e6-lifecycle-20260705T162257.628273009Z-c4-real-task-0016,ipfs_add,true,23,1783268577684,142778,,false
11,e6-lifecycle-20260705T162257.628273009Z-c4-real-task-0016,signed_posttask,true,3,1783268577707,0,QmREfr2bCUdHenUxeeMkgHAfkk2dchDpVXhBqQZDCVdGX1,false
12,e6-lifecycle-20260705T162257.628273009Z-c4-real-task-0016,signed_postallocation,true,2,1783268577710,0,QmREfr2bCUdHenUxeeMkgHAfkk2dchDpVXhBqQZDCVdGX1,false
13,e6-lifecycle-20260705T162257.628273009Z-c4-real-task-0016,signed_post_evalsnapshot,true,1,1783268577712,0,QmREfr2bCUdHenUxeeMkgHAfkk2dchDpVXhBqQZDCVdGX1,false
14,e6-lifecycle-20260705T162257.628273009Z-c4-real-task-0016,signed_vote1,true,2,1783268577713,0,QmREfr2bCUdHenUxeeMkgHAfkk2dchDpVXhBqQZDCVdGX1,false
