seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
48,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,fabric_query_confirmation,True,,176,1784131667988,0,,False
49,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,fabric_query_confirmation,True,,178,1784131667987,0,,False
50,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,fabric_query_confirmation,True,,185,1784131667980,0,,False
51,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,fabric_vote_1,True,,2335,1784131668164,0,,False
52,e10-resource-c8-r1,e10-resource-c8-r1-task-0007,fabric_vote_1,True,,2339,1784131668161,0,,False
53,e10-resource-c8-r1,e10-resource-c8-r1-task-0001,fabric_vote_1,True,,2338,1784131668162,0,,False
54,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,fabric_vote_1,True,,2336,1784131668165,0,,False
55,e10-resource-c8-r1,e10-resource-c8-r1-task-0002,fabric_vote_1,True,,2340,1784131668163,0,,False
56,e10-resource-c8-r1,e10-resource-c8-r1-task-0005,fabric_vote_1,True,,2344,1784131668160,0,,False
57,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,fabric_vote_1,True,,2339,1784131668165,0,,False
58,e10-resource-c8-r1,e10-resource-c8-r1-task-0004,fabric_vote_1,True,,2343,1784131668162,0,,False
59,e10-resource-c8-r1,e10-resource-c8-r1-task-0005,fabric_vote_2,True,,2342,1784131670504,0,,False
60,e10-resource-c8-r1,e10-resource-c8-r1-task-0001,fabric_vote_2,True,,2346,1784131670500,0,,False
61,e10-resource-c8-r1,e10-resource-c8-r1-task-0002,fabric_vote_2,True,,2345,1784131670503,0,,False
62,e10-resource-c8-r1,e10-resource-c8-r1-task-0007,fabric_vote_2,True,,2349,1784131670500,0,,False
63,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,fabric_vote_2,True,,2350,1784131670499,0,,False
64,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,fabric_vote_2,True,,2349,1784131670501,0,,False
65,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,fabric_vote_2,True,,2348,1784131670504,0,,False
66,e10-resource-c8-r1,e10-resource-c8-r1-task-0004,fabric_vote_2,True,,2348,1784131670505,0,,False
67,e10-resource-c8-r1,e10-resource-c8-r1-task-0007,fabric_settlement,True,,2387,1784131672849,0,,False
68,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,fabric_settlement,True,,2388,1784131672849,0,,False
69,e10-resource-c8-r1,e10-resource-c8-r1-task-0002,fabric_settlement,True,,2390,1784131672848,0,,False
70,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,fabric_settlement,True,,2388,1784131672850,0,,False
71,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,fabric_settlement,True,,2386,1784131672852,0,,False
72,e10-resource-c8-r1,e10-resource-c8-r1-task-0001,fabric_settlement,True,,2392,1784131672846,0,,False
73,e10-resource-c8-r1,e10-resource-c8-r1-task-0004,fabric_settlement,True,,2387,1784131672853,0,,False
74,e10-resource-c8-r1,e10-resource-c8-r1-task-0005,fabric_settlement,True,,2394,1784131672846,0,,False
75,e10-resource-c8-r1,e10-resource-c8-r1-task-0002,fabric_query_final,True,,785,1784131675238,0,,False
76,e10-resource-c8-r1,e10-resource-c8-r1-task-0001,fabric_query_final,True,,786,1784131675238,0,,False
77,e10-resource-c8-r1,e10-resource-c8-r1-task-0007,fabric_query_final,True,,789,1784131675236,0,,False
78,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,fabric_query_final,True,,791,1784131675237,0,,False
79,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,fabric_query_final,True,,790,1784131675238,0,,False
80,e10-resource-c8-r1,e10-resource-c8-r1-task-0004,fabric_query_final,True,,789,1784131675240,0,,False
81,e10-resource-c8-r1,e10-resource-c8-r1-task-0005,fabric_query_final,True,,790,1784131675240,0,,False
82,e10-resource-c8-r1,e10-resource-c8-r1-task-0002,ipfs_verify,True,,13,1784131676023,0,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
83,e10-resource-c8-r1,e10-resource-c8-r1-task-0001,ipfs_verify,True,,14,1784131676024,0,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
84,e10-resource-c8-r1,e10-resource-c8-r1-task-0007,ipfs_verify,True,,17,1784131676025,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,False
85,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,fabric_query_final,True,,805,1784131675238,0,,False
86,e10-resource-c8-r1,e10-resource-c8-r1-task-0005,ipfs_verify,True,,24,1784131676030,0,QmbhenpmX42tDu32tHki9hDD4g4UQfD84SWxsxuPQVG3k2,False
87,e10-resource-c8-r1,e10-resource-c8-r1-task-0006,ipfs_verify,True,,27,1784131676028,0,QmYZRdAoUuiXfb85BrW8eNcGqiM29LZbVnnv73faj47XUR,False
88,e10-resource-c8-r1,e10-resource-c8-r1-task-0000,ipfs_verify,True,,27,1784131676028,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
89,e10-resource-c8-r1,e10-resource-c8-r1-task-0004,ipfs_verify,True,,29,1784131676029,0,QmfTn2wEWKDdRnBVTP2EGggc2fLS2zysR49b3UxS8iRGQd,False
90,e10-resource-c8-r1,e10-resource-c8-r1-task-0003,ipfs_verify,True,,28,1784131676043,0,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
91,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,ipfs_add,True,,63,1784131676043,125535,,False
92,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,ipfs_add,True,,90,1784131676036,125664,,False
93,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,ipfs_add,True,,109,1784131676039,100643,,False
94,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,ipfs_add,True,,110,1784131676056,128260,,False
95,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,ipfs_add,True,,128,1784131676056,125609,,False
96,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,ipfs_add,True,,148,1784131676055,151871,,False
97,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,ipfs_add,True,,169,1784131676071,126519,,False
98,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,ipfs_add,True,,180,1784131676060,128097,,False
99,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,fabric_post_task,True,,2553,1784131676203,151871,QmNRgTfuNkzSkqGTAY9EcXMRjjYdFxgz2w2aGjfqaVVpfH,False
100,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,fabric_post_task,True,,2608,1784131676148,100643,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,False
101,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,fabric_post_task,True,,2591,1784131676166,128260,QmYrJvdcnignaiN2UAt51vtqvmsQcMZrxiujbuHJZDprUU,False
102,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,fabric_post_task,True,,2518,1784131676240,128097,QmWMGWGSJSvWG7tjbL6BYNhrhZ8ZnLpwhf4nt56Sso3y2t,False
103,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,fabric_post_task,True,,2519,1784131676240,126519,QmXCxqvbVnqfsG2xgggHL4parfqkapTpYBpQaV9143YBQ8,False
104,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,fabric_post_task,True,,2575,1784131676184,125609,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,False
105,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,fabric_post_task,True,,2654,1784131676106,125535,QmNfQ8SHKYarJCLeUyLykV2FdwKZ55b4bPhBedRxjc24Ek,False
106,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,fabric_post_task,True,,2635,1784131676126,125664,QmctbwpW2kxqcQhGGdzmH4uo5n3tYJGfu13qpeDrXZRiii,False
107,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,fabric_post_allocation,True,,2415,1784131678757,0,,False
108,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,fabric_post_allocation,True,,2414,1784131678759,0,,False
109,e10-resource-c8-r1,e10-resource-c8-r1-task-0011,fabric_post_allocation,True,,2415,1784131678759,0,,False
110,e10-resource-c8-r1,e10-resource-c8-r1-task-0014,fabric_post_allocation,True,,2417,1784131678758,0,,False
111,e10-resource-c8-r1,e10-resource-c8-r1-task-0009,fabric_post_allocation,True,,2419,1784131678756,0,,False
112,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,fabric_post_allocation,True,,2415,1784131678761,0,,False
113,e10-resource-c8-r1,e10-resource-c8-r1-task-0010,fabric_post_allocation,True,,2416,1784131678760,0,,False
114,e10-resource-c8-r1,e10-resource-c8-r1-task-0013,fabric_post_allocation,True,,2422,1784131678756,0,,False
115,e10-resource-c8-r1,e10-resource-c8-r1-task-0012,fabric_post_snapshot,True,,2664,1784131681172,0,,False
116,e10-resource-c8-r1,e10-resource-c8-r1-task-0015,fabric_post_snapshot,True,,2666,1784131681173,0,,False
117,e10-resource-c8-r1,e10-resource-c8-r1-task-0008,fabric_post_snapshot,True,,2665,1784131681176,0,,False
