seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,ipfs_add,True,,35,1784132198700,149047,,True
2,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,fabric_post_task,True,,2562,1784132198736,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,fabric_post_allocation,True,,2549,1784132201298,0,,True
4,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,fabric_post_snapshot,True,,2503,1784132203847,0,,True
5,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,fabric_query_confirmation,True,,402,1784132206350,0,,True
6,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,fabric_vote_1,True,,2497,1784132206752,0,,True
7,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,fabric_vote_2,True,,2513,1784132209249,0,,True
8,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,fabric_settlement,True,,2548,1784132211762,0,,True
9,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,fabric_query_final,True,,1200,1784132214310,0,,True
10,e10-resource-c16-r3,e10-resource-c16-r3-warmup-0000,ipfs_verify,True,,7,1784132215510,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,e10-resource-c16-r3,e10-resource-c16-r3-task-0009,ipfs_add,True,,73,1784132215529,100643,,False
12,e10-resource-c16-r3,e10-resource-c16-r3-task-0008,ipfs_add,True,,91,1784132215529,125664,,False
13,e10-resource-c16-r3,e10-resource-c16-r3-task-0003,ipfs_add,True,,332,1784132215520,227419,,False
14,e10-resource-c16-r3,e10-resource-c16-r3-task-0010,ipfs_add,True,,321,1784132215531,125535,,False
15,e10-resource-c16-r3,e10-resource-c16-r3-task-0006,ipfs_add,True,,328,1784132215525,252663,,False
16,e10-resource-c16-r3,e10-resource-c16-r3-task-0001,ipfs_add,True,,338,1784132215519,234739,,False
17,e10-resource-c16-r3,e10-resource-c16-r3-task-0004,ipfs_add,True,,337,1784132215521,293643,,False
18,e10-resource-c16-r3,e10-resource-c16-r3-task-0013,ipfs_add,True,,321,1784132215538,151871,,False
19,e10-resource-c16-r3,e10-resource-c16-r3-task-0015,ipfs_add,True,,317,1784132215544,126519,,False
20,e10-resource-c16-r3,e10-resource-c16-r3-task-0005,ipfs_add,True,,337,1784132215524,243938,,False
21,e10-resource-c16-r3,e10-resource-c16-r3-task-0007,ipfs_add,True,,337,1784132215525,208548,,False
22,e10-resource-c16-r3,e10-resource-c16-r3-task-0012,ipfs_add,True,,327,1784132215536,128260,,False
23,e10-resource-c16-r3,e10-resource-c16-r3-task-0002,ipfs_add,True,,346,1784132215520,243506,,False
24,e10-resource-c16-r3,e10-resource-c16-r3-task-0000,ipfs_add,True,,349,1784132215518,149047,,False
25,e10-resource-c16-r3,e10-resource-c16-r3-task-0014,ipfs_add,True,,331,1784132215539,128097,,False
26,e10-resource-c16-r3,e10-resource-c16-r3-task-0011,ipfs_add,True,,339,1784132215532,125609,,False
27,e10-resource-c16-r3,e10-resource-c16-r3-task-0009,fabric_post_task,True,,735,1784132215602,100643,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,False
28,e10-resource-c16-r3,e10-resource-c16-r3-task-0008,fabric_post_task,True,,718,1784132215620,125664,QmctbwpW2kxqcQhGGdzmH4uo5n3tYJGfu13qpeDrXZRiii,False
29,e10-resource-c16-r3,e10-resource-c16-r3-task-0006,fabric_post_task,True,,486,1784132215853,252663,QmYZRdAoUuiXfb85BrW8eNcGqiM29LZbVnnv73faj47XUR,False
30,e10-resource-c16-r3,e10-resource-c16-r3-task-0002,fabric_post_task,True,,473,1784132215866,243506,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
31,e10-resource-c16-r3,e10-resource-c16-r3-task-0013,fabric_post_task,True,,481,1784132215859,151871,QmNRgTfuNkzSkqGTAY9EcXMRjjYdFxgz2w2aGjfqaVVpfH,False
32,e10-resource-c16-r3,e10-resource-c16-r3-task-0014,fabric_post_task,True,,470,1784132215870,128097,QmWMGWGSJSvWG7tjbL6BYNhrhZ8ZnLpwhf4nt56Sso3y2t,False
33,e10-resource-c16-r3,e10-resource-c16-r3-task-0005,fabric_post_task,True,,481,1784132215861,243938,QmbhenpmX42tDu32tHki9hDD4g4UQfD84SWxsxuPQVG3k2,False
34,e10-resource-c16-r3,e10-resource-c16-r3-task-0012,fabric_post_task,True,,481,1784132215863,128260,QmYrJvdcnignaiN2UAt51vtqvmsQcMZrxiujbuHJZDprUU,False
35,e10-resource-c16-r3,e10-resource-c16-r3-task-0003,fabric_post_task,True,,493,1784132215852,227419,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
36,e10-resource-c16-r3,e10-resource-c16-r3-task-0011,fabric_post_task,True,,475,1784132215871,125609,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,False
37,e10-resource-c16-r3,e10-resource-c16-r3-task-0008,fabric_post_allocation,True,,463,1784132216338,0,,False
38,e10-resource-c16-r3,e10-resource-c16-r3-task-0010,fabric_post_task,True,,951,1784132215852,125535,QmNfQ8SHKYarJCLeUyLykV2FdwKZ55b4bPhBedRxjc24Ek,False
39,e10-resource-c16-r3,e10-resource-c16-r3-task-0007,fabric_post_task,True,,942,1784132215862,208548,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,False
40,e10-resource-c16-r3,e10-resource-c16-r3-task-0003,fabric_post_allocation,True,,459,1784132216345,0,,False
41,e10-resource-c16-r3,e10-resource-c16-r3-task-0015,fabric_post_task,True,,945,1784132215861,126519,QmXCxqvbVnqfsG2xgggHL4parfqkapTpYBpQaV9143YBQ8,False
42,e10-resource-c16-r3,e10-resource-c16-r3-task-0005,fabric_post_allocation,True,,464,1784132216342,0,,False
43,e10-resource-c16-r3,e10-resource-c16-r3-task-0000,fabric_post_task,True,,940,1784132215867,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
44,e10-resource-c16-r3,e10-resource-c16-r3-task-0011,fabric_post_allocation,True,,461,1784132216346,0,,False
45,e10-resource-c16-r3,e10-resource-c16-r3-task-0001,fabric_post_task,True,,951,1784132215857,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
46,e10-resource-c16-r3,e10-resource-c16-r3-task-0004,fabric_post_task,True,,950,1784132215858,293643,QmfTn2wEWKDdRnBVTP2EGggc2fLS2zysR49b3UxS8iRGQd,False
47,e10-resource-c16-r3,e10-resource-c16-r3-task-0002,fabric_post_allocation,True,,987,1784132216339,0,,False
48,e10-resource-c16-r3,e10-resource-c16-r3-task-0012,fabric_post_allocation,True,,983,1784132216344,0,,False
49,e10-resource-c16-r3,e10-resource-c16-r3-task-0009,fabric_post_allocation,True,,993,1784132216337,0,,False
50,e10-resource-c16-r3,e10-resource-c16-r3-task-0003,fabric_post_snapshot,True,,527,1784132216804,0,,False
51,e10-resource-c16-r3,e10-resource-c16-r3-task-0013,fabric_post_allocation,True,,992,1784132216340,0,,False
52,e10-resource-c16-r3,e10-resource-c16-r3-task-0008,fabric_post_snapshot,True,,531,1784132216801,0,,False
53,e10-resource-c16-r3,e10-resource-c16-r3-task-0014,fabric_post_allocation,True,,993,1784132216340,0,,False
54,e10-resource-c16-r3,e10-resource-c16-r3-task-0006,fabric_post_allocation,True,,995,1784132216339,0,,False
55,e10-resource-c16-r3,e10-resource-c16-r3-task-0007,fabric_post_allocation,True,,530,1784132216804,0,,False
56,e10-resource-c16-r3,e10-resource-c16-r3-task-0005,fabric_post_snapshot,True,,529,1784132216806,0,,False
57,e10-resource-c16-r3,e10-resource-c16-r3-task-0003,fabric_query_confirmation,True,,272,1784132217331,0,,False
58,e10-resource-c16-r3,e10-resource-c16-r3-task-0008,fabric_query_confirmation,True,,276,1784132217332,0,,False
59,e10-resource-c16-r3,e10-resource-c16-r3-task-0005,fabric_query_confirmation,True,,370,1784132217335,0,,False
60,e10-resource-c16-r3,e10-resource-c16-r3-task-0004,fabric_post_allocation,True,,1061,1784132216808,0,,False
61,e10-resource-c16-r3,e10-resource-c16-r3-task-0015,fabric_post_allocation,True,,1071,1784132216806,0,,False
62,e10-resource-c16-r3,e10-resource-c16-r3-task-0011,fabric_post_snapshot,True,,1071,1784132216808,0,,False
63,e10-resource-c16-r3,e10-resource-c16-r3-task-0000,fabric_post_allocation,True,,1074,1784132216807,0,,False
64,e10-resource-c16-r3,e10-resource-c16-r3-task-0009,fabric_post_snapshot,True,,551,1784132217330,0,,False
65,e10-resource-c16-r3,e10-resource-c16-r3-task-0012,fabric_post_snapshot,True,,555,1784132217327,0,,False
66,e10-resource-c16-r3,e10-resource-c16-r3-task-0006,fabric_post_snapshot,True,,549,1784132217334,0,,False
67,e10-resource-c16-r3,e10-resource-c16-r3-task-0001,fabric_post_allocation,True,,1076,1784132216808,0,,False
68,e10-resource-c16-r3,e10-resource-c16-r3-task-0010,fabric_post_allocation,True,,1084,1784132216803,0,,False
69,e10-resource-c16-r3,e10-resource-c16-r3-task-0014,fabric_post_snapshot,True,,557,1784132217333,0,,False
70,e10-resource-c16-r3,e10-resource-c16-r3-task-0012,fabric_query_confirmation,True,,292,1784132217882,0,,False
71,e10-resource-c16-r3,e10-resource-c16-r3-task-0006,fabric_query_confirmation,True,,292,1784132217883,0,,False
72,e10-resource-c16-r3,e10-resource-c16-r3-task-0014,fabric_query_confirmation,True,,286,1784132217890,0,,False
73,e10-resource-c16-r3,e10-resource-c16-r3-task-0009,fabric_query_confirmation,True,,321,1784132217881,0,,False
74,e10-resource-c16-r3,e10-resource-c16-r3-task-0011,fabric_query_confirmation,True,,326,1784132217879,0,,False
75,e10-resource-c16-r3,e10-resource-c16-r3-task-0010,fabric_post_snapshot,True,,612,1784132217887,0,,False
76,e10-resource-c16-r3,e10-resource-c16-r3-task-0013,fabric_post_snapshot,True,,1168,1784132217332,0,,False
77,e10-resource-c16-r3,e10-resource-c16-r3-task-0001,fabric_post_snapshot,True,,620,1784132217884,0,,False
78,e10-resource-c16-r3,e10-resource-c16-r3-task-0004,fabric_post_snapshot,True,,643,1784132217869,0,,False
79,e10-resource-c16-r3,e10-resource-c16-r3-task-0007,fabric_post_snapshot,True,,1184,1784132217334,0,,False
80,e10-resource-c16-r3,e10-resource-c16-r3-task-0005,fabric_vote_1,True,,813,1784132217705,0,,False
81,e10-resource-c16-r3,e10-resource-c16-r3-task-0002,fabric_post_snapshot,True,,1193,1784132217326,0,,False
82,e10-resource-c16-r3,e10-resource-c16-r3-task-0015,fabric_post_snapshot,True,,644,1784132217877,0,,False
83,e10-resource-c16-r3,e10-resource-c16-r3-task-0003,fabric_vote_1,True,,932,1784132217603,0,,False
84,e10-resource-c16-r3,e10-resource-c16-r3-task-0008,fabric_vote_1,True,,928,1784132217608,0,,False
85,e10-resource-c16-r3,e10-resource-c16-r3-task-0010,fabric_query_confirmation,True,,313,1784132218499,0,,False
86,e10-resource-c16-r3,e10-resource-c16-r3-task-0013,fabric_query_confirmation,True,,313,1784132218500,0,,False
87,e10-resource-c16-r3,e10-resource-c16-r3-task-0015,fabric_query_confirmation,True,,295,1784132218521,0,,False
88,e10-resource-c16-r3,e10-resource-c16-r3-task-0007,fabric_query_confirmation,True,,300,1784132218518,0,,False
89,e10-resource-c16-r3,e10-resource-c16-r3-task-0004,fabric_query_confirmation,True,,351,1784132218512,0,,False
90,e10-resource-c16-r3,e10-resource-c16-r3-task-0001,fabric_query_confirmation,True,,375,1784132218504,0,,False
91,e10-resource-c16-r3,e10-resource-c16-r3-task-0002,fabric_query_confirmation,True,,374,1784132218519,0,,False
92,e10-resource-c16-r3,e10-resource-c16-r3-task-0007,fabric_vote_1,True,,480,1784132218818,0,,False
93,e10-resource-c16-r3,e10-resource-c16-r3-task-0008,fabric_vote_2,True,,765,1784132218536,0,,False
94,e10-resource-c16-r3,e10-resource-c16-r3-task-0003,fabric_vote_2,True,,767,1784132218535,0,,False
95,e10-resource-c16-r3,e10-resource-c16-r3-task-0009,fabric_vote_1,True,,1101,1784132218202,0,,False
96,e10-resource-c16-r3,e10-resource-c16-r3-task-0006,fabric_vote_1,True,,1129,1784132218175,0,,False
97,e10-resource-c16-r3,e10-resource-c16-r3-task-0012,fabric_vote_1,True,,1134,1784132218174,0,,False
98,e10-resource-c16-r3,e10-resource-c16-r3-task-0005,fabric_vote_2,True,,794,1784132218518,0,,False
99,e10-resource-c16-r3,e10-resource-c16-r3-task-0014,fabric_vote_1,True,,1140,1784132218176,0,,False
100,e10-resource-c16-r3,e10-resource-c16-r3-task-0011,fabric_vote_1,True,,1111,1784132218205,0,,False
101,e10-resource-c16-r3,e10-resource-c16-r3-task-0000,fabric_post_snapshot,True,,1438,1784132217881,0,,False
102,e10-resource-c16-r3,e10-resource-c16-r3-task-0000,fabric_query_confirmation,True,,244,1784132219319,0,,False
