seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,ipfs_add,True,,33,1784131765226,149047,,True
2,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,fabric_post_task,True,,2516,1784131765259,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,fabric_post_allocation,True,,2523,1784131767775,0,,True
4,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,fabric_post_snapshot,True,,2631,1784131770298,0,,True
5,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,fabric_query_confirmation,True,,427,1784131772929,0,,True
6,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,fabric_vote_1,True,,2501,1784131773356,0,,True
7,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,fabric_vote_2,True,,2531,1784131775857,0,,True
8,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,fabric_settlement,True,,2567,1784131778388,0,,True
9,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,fabric_query_final,True,,1225,1784131780955,0,,True
10,e10-resource-c8-r2,e10-resource-c8-r2-warmup-0000,ipfs_verify,True,,8,1784131782180,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,e10-resource-c8-r2,e10-resource-c8-r2-task-0000,ipfs_add,True,,64,1784131782189,149047,,False
12,e10-resource-c8-r2,e10-resource-c8-r2-task-0001,ipfs_add,True,,81,1784131782189,234739,,False
13,e10-resource-c8-r2,e10-resource-c8-r2-task-0005,ipfs_add,True,,94,1784131782192,243938,,False
14,e10-resource-c8-r2,e10-resource-c8-r2-task-0002,ipfs_add,True,,112,1784131782190,243506,,False
15,e10-resource-c8-r2,e10-resource-c8-r2-task-0007,ipfs_add,True,,123,1784131782197,208548,,False
16,e10-resource-c8-r2,e10-resource-c8-r2-task-0004,ipfs_add,True,,147,1784131782192,293643,,False
17,e10-resource-c8-r2,e10-resource-c8-r2-task-0003,ipfs_add,True,,165,1784131782191,227419,,False
18,e10-resource-c8-r2,e10-resource-c8-r2-task-0006,ipfs_add,True,,181,1784131782194,252663,,False
19,e10-resource-c8-r2,e10-resource-c8-r2-task-0002,fabric_post_task,True,,2669,1784131782302,243506,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
20,e10-resource-c8-r2,e10-resource-c8-r2-task-0006,fabric_post_task,True,,2599,1784131782375,252663,QmYZRdAoUuiXfb85BrW8eNcGqiM29LZbVnnv73faj47XUR,False
21,e10-resource-c8-r2,e10-resource-c8-r2-task-0005,fabric_post_task,True,,2688,1784131782286,243938,QmbhenpmX42tDu32tHki9hDD4g4UQfD84SWxsxuPQVG3k2,False
22,e10-resource-c8-r2,e10-resource-c8-r2-task-0001,fabric_post_task,True,,2707,1784131782270,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
23,e10-resource-c8-r2,e10-resource-c8-r2-task-0003,fabric_post_task,True,,2623,1784131782356,227419,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
24,e10-resource-c8-r2,e10-resource-c8-r2-task-0000,fabric_post_task,True,,2727,1784131782253,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
25,e10-resource-c8-r2,e10-resource-c8-r2-task-0004,fabric_post_task,True,,2641,1784131782339,293643,QmfTn2wEWKDdRnBVTP2EGggc2fLS2zysR49b3UxS8iRGQd,False
26,e10-resource-c8-r2,e10-resource-c8-r2-task-0007,fabric_post_task,True,,2664,1784131782320,208548,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,False
27,e10-resource-c8-r2,e10-resource-c8-r2-task-0003,fabric_post_allocation,True,,2372,1784131784979,0,,False
28,e10-resource-c8-r2,e10-resource-c8-r2-task-0002,fabric_post_allocation,True,,2381,1784131784971,0,,False
29,e10-resource-c8-r2,e10-resource-c8-r2-task-0005,fabric_post_allocation,True,,2379,1784131784974,0,,False
30,e10-resource-c8-r2,e10-resource-c8-r2-task-0001,fabric_post_allocation,True,,2376,1784131784977,0,,False
31,e10-resource-c8-r2,e10-resource-c8-r2-task-0004,fabric_post_allocation,True,,2374,1784131784980,0,,False
32,e10-resource-c8-r2,e10-resource-c8-r2-task-0007,fabric_post_allocation,True,,2372,1784131784984,0,,False
33,e10-resource-c8-r2,e10-resource-c8-r2-task-0000,fabric_post_allocation,True,,2377,1784131784980,0,,False
34,e10-resource-c8-r2,e10-resource-c8-r2-task-0006,fabric_post_allocation,True,,2384,1784131784974,0,,False
35,e10-resource-c8-r2,e10-resource-c8-r2-task-0007,fabric_post_snapshot,True,,2299,1784131787356,0,,False
36,e10-resource-c8-r2,e10-resource-c8-r2-task-0005,fabric_post_snapshot,True,,2304,1784131787353,0,,False
37,e10-resource-c8-r2,e10-resource-c8-r2-task-0006,fabric_post_snapshot,True,,2299,1784131787358,0,,False
38,e10-resource-c8-r2,e10-resource-c8-r2-task-0003,fabric_post_snapshot,True,,2307,1784131787351,0,,False
39,e10-resource-c8-r2,e10-resource-c8-r2-task-0004,fabric_post_snapshot,True,,2304,1784131787354,0,,False
40,e10-resource-c8-r2,e10-resource-c8-r2-task-0001,fabric_post_snapshot,True,,2306,1784131787353,0,,False
41,e10-resource-c8-r2,e10-resource-c8-r2-task-0002,fabric_post_snapshot,True,,2307,1784131787352,0,,False
42,e10-resource-c8-r2,e10-resource-c8-r2-task-0000,fabric_post_snapshot,True,,2303,1784131787357,0,,False
43,e10-resource-c8-r2,e10-resource-c8-r2-task-0007,fabric_query_confirmation,True,,172,1784131789655,0,,False
44,e10-resource-c8-r2,e10-resource-c8-r2-task-0003,fabric_query_confirmation,True,,169,1784131789658,0,,False
45,e10-resource-c8-r2,e10-resource-c8-r2-task-0002,fabric_query_confirmation,True,,169,1784131789659,0,,False
46,e10-resource-c8-r2,e10-resource-c8-r2-task-0004,fabric_query_confirmation,True,,170,1784131789658,0,,False
47,e10-resource-c8-r2,e10-resource-c8-r2-task-0001,fabric_query_confirmation,True,,170,1784131789659,0,,False
48,e10-resource-c8-r2,e10-resource-c8-r2-task-0000,fabric_query_confirmation,True,,169,1784131789660,0,,False
49,e10-resource-c8-r2,e10-resource-c8-r2-task-0005,fabric_query_confirmation,True,,174,1784131789657,0,,False
50,e10-resource-c8-r2,e10-resource-c8-r2-task-0006,fabric_query_confirmation,True,,174,1784131789657,0,,False
51,e10-resource-c8-r2,e10-resource-c8-r2-task-0001,fabric_vote_1,True,,2544,1784131789829,0,,False
52,e10-resource-c8-r2,e10-resource-c8-r2-task-0000,fabric_vote_1,True,,2544,1784131789829,0,,False
53,e10-resource-c8-r2,e10-resource-c8-r2-task-0007,fabric_vote_1,True,,2549,1784131789827,0,,False
