seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,ipfs_add,true,31,1783272672861,39654,,true
2,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,signed_posttask,true,3,1783272672892,0,QmfEm5osjJUW5Q2LQcZ4kczYYJd1HFfsWG5T8DPQYfqVvq,true
3,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,signed_postallocation,true,2,1783272672895,0,QmfEm5osjJUW5Q2LQcZ4kczYYJd1HFfsWG5T8DPQYfqVvq,true
4,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,1,1783272672897,0,QmfEm5osjJUW5Q2LQcZ4kczYYJd1HFfsWG5T8DPQYfqVvq,true
5,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,signed_vote1,true,1,1783272672898,0,QmfEm5osjJUW5Q2LQcZ4kczYYJd1HFfsWG5T8DPQYfqVvq,true
6,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,signed_vote2,true,2,1783272672899,0,QmfEm5osjJUW5Q2LQcZ4kczYYJd1HFfsWG5T8DPQYfqVvq,true
7,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,signed_settlement,true,1,1783272672901,0,QmfEm5osjJUW5Q2LQcZ4kczYYJd1HFfsWG5T8DPQYfqVvq,true
8,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,signed_query_latest,true,0,1783272672902,0,QmfEm5osjJUW5Q2LQcZ4kczYYJd1HFfsWG5T8DPQYfqVvq,true
9,e6-lifecycle-20260705T173112.846755679Z-c4-real-warmup-0000,ipfs_verify,true,6,1783272672902,0,QmfEm5osjJUW5Q2LQcZ4kczYYJd1HFfsWG5T8DPQYfqVvq,true
10,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,ipfs_add,true,26,1783272672913,74141,,false
11,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,signed_posttask,true,3,1783272672939,0,QmZMZj2c8LJ74subzd1QDbsWc3DNxJRQDKDRUggo48vXon,false
12,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,signed_postallocation,true,2,1783272672942,0,QmZMZj2c8LJ74subzd1QDbsWc3DNxJRQDKDRUggo48vXon,false
13,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,signed_post_evalsnapshot,true,2,1783272672944,0,QmZMZj2c8LJ74subzd1QDbsWc3DNxJRQDKDRUggo48vXon,false
14,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,signed_vote1,true,2,1783272672946,0,QmZMZj2c8LJ74subzd1QDbsWc3DNxJRQDKDRUggo48vXon,false
15,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,signed_vote2,true,2,1783272672948,0,QmZMZj2c8LJ74subzd1QDbsWc3DNxJRQDKDRUggo48vXon,false
16,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,signed_settlement,true,1,1783272672950,0,QmZMZj2c8LJ74subzd1QDbsWc3DNxJRQDKDRUggo48vXon,false
17,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,signed_query_latest,true,0,1783272672951,0,QmZMZj2c8LJ74subzd1QDbsWc3DNxJRQDKDRUggo48vXon,false
18,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0005,ipfs_verify,true,8,1783272672951,0,QmZMZj2c8LJ74subzd1QDbsWc3DNxJRQDKDRUggo48vXon,false
19,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0015,ipfs_add,true,47,1783272672913,28019,,false
20,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0015,signed_posttask,true,1,1783272672960,0,QmdHakWcoZUtqzivWNx9xFwWjxAoE5FKAmsj4H4C2ZRFXu,false
21,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0015,signed_postallocation,true,2,1783272672961,0,QmdHakWcoZUtqzivWNx9xFwWjxAoE5FKAmsj4H4C2ZRFXu,false
22,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0015,signed_post_evalsnapshot,true,1,1783272672963,0,QmdHakWcoZUtqzivWNx9xFwWjxAoE5FKAmsj4H4C2ZRFXu,false
23,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0015,signed_vote1,true,1,1783272672964,0,QmdHakWcoZUtqzivWNx9xFwWjxAoE5FKAmsj4H4C2ZRFXu,false
24,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0015,signed_vote2,true,2,1783272672965,0,QmdHakWcoZUtqzivWNx9xFwWjxAoE5FKAmsj4H4C2ZRFXu,false
25,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0015,signed_settlement,true,2,1783272672967,0,QmdHakWcoZUtqzivWNx9xFwWjxAoE5FKAmsj4H4C2ZRFXu,false
26,e6-lifecycle-20260705T173112.846755679Z-c4-real-task-0015,signed_query_latest,true,0,1783272672969,0,QmdHakWcoZUtqzivWNx9xFwWjxAoE5FKAmsj4H4C2ZRFXu,false
