seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,ipfs_add,true,26,1783267879727,149047,,true
2,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,signed_posttask,true,3,1783267879753,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
3,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,signed_postallocation,true,2,1783267879756,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
4,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,1,1783267879758,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
5,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,signed_vote1,true,2,1783267879759,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
6,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,signed_vote2,true,1,1783267879761,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
7,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,signed_settlement,true,1,1783267879762,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
8,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,signed_query_latest,true,0,1783267879763,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
9,e6-lifecycle-20260705T161119.717545101Z-c4-real-warmup-0000,ipfs_verify,true,11,1783267879763,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
10,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,ipfs_add,true,24,1783267879779,23072,,false
11,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,signed_posttask,true,4,1783267879803,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
12,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,signed_postallocation,true,2,1783267879807,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
13,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,signed_post_evalsnapshot,true,1,1783267879809,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
14,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,signed_vote1,true,2,1783267879810,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
15,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,signed_vote2,true,1,1783267879812,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
16,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,signed_settlement,true,2,1783267879813,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
17,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,signed_query_latest,true,0,1783267879815,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
18,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0032,ipfs_verify,true,6,1783267879815,0,QmZWiojDjA3sCUgDBnTU4coQRAZGMMKRA6VhFJsScU28nX,false
19,e6-lifecycle-20260705T161119.717545101Z-c4-real-task-0000,ipfs_add,true,47,1783267879779,149047,,false
