seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,ipfs_add,true,34,1783267713484,149047,,true
2,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,signed_posttask,true,2,1783267713518,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
3,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,signed_postallocation,true,2,1783267713520,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
4,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,signed_post_evalsnapshot,true,1,1783267713522,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
5,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,signed_vote1,true,2,1783267713523,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
6,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,signed_vote2,true,1,1783267713525,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
7,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,signed_settlement,true,1,1783267713526,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
8,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,signed_query_latest,true,0,1783267713527,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
9,e6-lifecycle-20260705T160833.475476967Z-c1-real-warmup-0000,ipfs_verify,true,7,1783267713527,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
10,e6-lifecycle-20260705T160833.475476967Z-c1-real-task-0001,ipfs_add,true,26,1783267713538,234739,,false
11,e6-lifecycle-20260705T160833.475476967Z-c1-real-task-0001,signed_posttask,true,3,1783267713564,0,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,false
