seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,ipfs_add,True,,76,1784129832115,149047,,True
2,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,fabric_post_task,True,,2513,1784129832191,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,fabric_post_allocation,True,,2566,1784129834704,0,,True
4,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,fabric_post_snapshot,True,,2531,1784129837270,0,,True
5,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,fabric_query_confirmation,True,,425,1784129839801,0,,True
6,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,fabric_vote_1,True,,2586,1784129840226,0,,True
7,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,fabric_vote_2,True,,2539,1784129842812,0,,True
8,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,fabric_settlement,True,,2553,1784129845351,0,,True
9,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,fabric_query_final,True,,1311,1784129847904,0,,True
10,e10-resource-c1-r1,e10-resource-c1-r1-warmup-0000,ipfs_verify,True,,8,1784129849215,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,ipfs_add,True,,31,1784129849224,149047,,False
12,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,fabric_post_task,True,,2501,1784129849255,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
13,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,fabric_post_allocation,True,,2546,1784129851756,0,,False
14,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,fabric_post_snapshot,True,,2539,1784129854302,0,,False
15,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,fabric_query_confirmation,True,,405,1784129856841,0,,False
16,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,fabric_vote_1,True,,2530,1784129857246,0,,False
17,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,fabric_vote_2,True,,2516,1784129859776,0,,False
18,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,fabric_settlement,True,,2579,1784129862292,0,,False
19,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,fabric_query_final,True,,1315,1784129864871,0,,False
20,e10-resource-c1-r1,e10-resource-c1-r1-task-0000,ipfs_verify,True,,7,1784129866186,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
21,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,ipfs_add,True,,33,1784129866194,234739,,False
22,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,fabric_post_task,True,,2554,1784129866227,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
23,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,fabric_post_allocation,True,,2601,1784129868781,0,,False
24,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,fabric_post_snapshot,True,,2537,1784129871382,0,,False
25,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,fabric_query_confirmation,True,,451,1784129873919,0,,False
26,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,fabric_vote_1,True,,2547,1784129874370,0,,False
27,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,fabric_vote_2,True,,2537,1784129876917,0,,False
28,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,fabric_settlement,True,,2598,1784129879454,0,,False
29,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,fabric_query_final,True,,1285,1784129882052,0,,False
30,e10-resource-c1-r1,e10-resource-c1-r1-task-0001,ipfs_verify,True,,9,1784129883337,0,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
31,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,ipfs_add,True,,36,1784129883346,243506,,False
32,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,fabric_post_task,True,,2558,1784129883382,243506,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
33,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,fabric_post_allocation,True,,2610,1784129885940,0,,False
34,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,fabric_post_snapshot,True,,2592,1784129888550,0,,False
35,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,fabric_query_confirmation,True,,428,1784129891142,0,,False
36,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,fabric_vote_1,True,,2534,1784129891570,0,,False
37,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,fabric_vote_2,True,,2543,1784129894104,0,,False
38,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,fabric_settlement,True,,2536,1784129896647,0,,False
39,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,fabric_query_final,True,,1418,1784129899183,0,,False
40,e10-resource-c1-r1,e10-resource-c1-r1-task-0002,ipfs_verify,True,,8,1784129900601,0,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
41,e10-resource-c1-r1,e10-resource-c1-r1-task-0003,ipfs_add,True,,30,1784129900609,227419,,False
42,e10-resource-c1-r1,e10-resource-c1-r1-task-0003,fabric_post_task,True,,2611,1784129900639,227419,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
43,e10-resource-c1-r1,e10-resource-c1-r1-task-0003,fabric_post_allocation,True,,2571,1784129903250,0,,False
44,e10-resource-c1-r1,e10-resource-c1-r1-task-0003,fabric_post_snapshot,True,,2549,1784129905821,0,,False
45,e10-resource-c1-r1,e10-resource-c1-r1-task-0003,fabric_query_confirmation,True,,440,1784129908370,0,,False
46,e10-resource-c1-r1,e10-resource-c1-r1-task-0003,fabric_vote_1,True,,2557,1784129908810,0,,False
47,e10-resource-c1-r1,e10-resource-c1-r1-task-0003,fabric_vote_2,True,,2566,1784129911367,0,,False
