seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,ipfs_add,True,,33,1784132454271,149047,,True
2,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,fabric_post_task,True,,2482,1784132454304,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,fabric_post_allocation,True,,2518,1784132456786,0,,True
4,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,fabric_post_snapshot,True,,2481,1784132459304,0,,True
5,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,fabric_query_confirmation,True,,358,1784132461785,0,,True
6,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,fabric_vote_1,True,,2464,1784132462143,0,,True
7,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,fabric_vote_2,True,,2454,1784132464607,0,,True
8,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,fabric_settlement,True,,2488,1784132467061,0,,True
9,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,fabric_query_final,True,,1091,1784132469549,0,,True
10,e10-resource-c32-r2,e10-resource-c32-r2-warmup-0000,ipfs_verify,True,,11,1784132470640,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,e10-resource-c32-r2,e10-resource-c32-r2-task-0000,ipfs_add,True,,125,1784132470652,149047,,False
12,e10-resource-c32-r2,e10-resource-c32-r2-task-0009,ipfs_add,True,,129,1784132470665,100643,,False
13,e10-resource-c32-r2,e10-resource-c32-r2-task-0014,ipfs_add,True,,144,1784132470672,128097,,False
14,e10-resource-c32-r2,e10-resource-c32-r2-task-0011,ipfs_add,True,,164,1784132470667,125609,,False
15,e10-resource-c32-r2,e10-resource-c32-r2-task-0010,ipfs_add,True,,185,1784132470664,125535,,False
16,e10-resource-c32-r2,e10-resource-c32-r2-task-0008,ipfs_add,True,,205,1784132470662,125664,,False
17,e10-resource-c32-r2,e10-resource-c32-r2-task-0012,ipfs_add,True,,216,1784132470667,128260,,False
18,e10-resource-c32-r2,e10-resource-c32-r2-task-0017,ipfs_add,True,,229,1784132470676,114439,,False
19,e10-resource-c32-r2,e10-resource-c32-r2-task-0015,ipfs_add,True,,251,1784132470672,126519,,False
20,e10-resource-c32-r2,e10-resource-c32-r2-task-0005,ipfs_add,True,,285,1784132470656,243938,,False
21,e10-resource-c32-r2,e10-resource-c32-r2-task-0001,ipfs_add,True,,305,1784132470653,234739,,False
22,e10-resource-c32-r2,e10-resource-c32-r2-task-0007,ipfs_add,True,,333,1784132470661,208548,,False
23,e10-resource-c32-r2,e10-resource-c32-r2-task-0018,ipfs_add,True,,352,1784132470677,129894,,False
24,e10-resource-c32-r2,e10-resource-c32-r2-task-0023,ipfs_add,True,,359,1784132470691,123878,,False
25,e10-resource-c32-r2,e10-resource-c32-r2-task-0001,fabric_post_task,True,,521,1784132470958,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
26,e10-resource-c32-r2,e10-resource-c32-r2-task-0023,fabric_post_task,True,,431,1784132471050,123878,QmPGuPNJdN7p9sfrqD2Se1WSwKwH3g2SMWJcVxsFWUn3ZP,False
27,e10-resource-c32-r2,e10-resource-c32-r2-task-0017,fabric_post_task,True,,576,1784132470905,114439,QmSFECwP8d1a1GBZQaswZ3NQzRfDsmks9eCS2avwUcsPiB,False
28,e10-resource-c32-r2,e10-resource-c32-r2-task-0014,fabric_post_task,True,,666,1784132470816,128097,QmWMGWGSJSvWG7tjbL6BYNhrhZ8ZnLpwhf4nt56Sso3y2t,False
29,e10-resource-c32-r2,e10-resource-c32-r2-task-0006,ipfs_add,True,,826,1784132470658,252663,,False
30,e10-resource-c32-r2,e10-resource-c32-r2-task-0020,ipfs_add,True,,806,1784132470682,138253,,False
31,e10-resource-c32-r2,e10-resource-c32-r2-task-0005,fabric_post_task,True,,548,1784132470941,243938,QmbhenpmX42tDu32tHki9hDD4g4UQfD84SWxsxuPQVG3k2,False
32,e10-resource-c32-r2,e10-resource-c32-r2-task-0022,ipfs_add,True,,803,1784132470686,131198,,False
33,e10-resource-c32-r2,e10-resource-c32-r2-task-0015,fabric_post_task,True,,567,1784132470923,126519,QmXCxqvbVnqfsG2xgggHL4parfqkapTpYBpQaV9143YBQ8,False
34,e10-resource-c32-r2,e10-resource-c32-r2-task-0029,ipfs_add,True,,781,1784132470710,125667,,False
35,e10-resource-c32-r2,e10-resource-c32-r2-task-0012,fabric_post_task,True,,607,1784132470884,128260,QmYrJvdcnignaiN2UAt51vtqvmsQcMZrxiujbuHJZDprUU,False
36,e10-resource-c32-r2,e10-resource-c32-r2-task-0009,fabric_post_task,True,,699,1784132470794,100643,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,False
37,e10-resource-c32-r2,e10-resource-c32-r2-task-0003,ipfs_add,True,,839,1784132470654,227419,,False
38,e10-resource-c32-r2,e10-resource-c32-r2-task-0028,ipfs_add,True,,785,1784132470709,147136,,False
39,e10-resource-c32-r2,e10-resource-c32-r2-task-0016,ipfs_add,True,,823,1784132470675,142778,,False
40,e10-resource-c32-r2,e10-resource-c32-r2-task-0010,fabric_post_task,True,,650,1784132470849,125535,QmNfQ8SHKYarJCLeUyLykV2FdwKZ55b4bPhBedRxjc24Ek,False
41,e10-resource-c32-r2,e10-resource-c32-r2-task-0004,ipfs_add,True,,846,1784132470655,293643,,False
42,e10-resource-c32-r2,e10-resource-c32-r2-task-0031,ipfs_add,True,,790,1784132470711,144412,,False
43,e10-resource-c32-r2,e10-resource-c32-r2-task-0027,ipfs_add,True,,798,1784132470704,128170,,False
44,e10-resource-c32-r2,e10-resource-c32-r2-task-0019,ipfs_add,True,,820,1784132470683,120895,,False
45,e10-resource-c32-r2,e10-resource-c32-r2-task-0007,fabric_post_task,True,,510,1784132470994,208548,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,False
46,e10-resource-c32-r2,e10-resource-c32-r2-task-0026,ipfs_add,True,,806,1784132470698,129271,,False
47,e10-resource-c32-r2,e10-resource-c32-r2-task-0013,ipfs_add,True,,836,1784132470669,151871,,False
48,e10-resource-c32-r2,e10-resource-c32-r2-task-0024,ipfs_add,True,,812,1784132470693,118546,,False
49,e10-resource-c32-r2,e10-resource-c32-r2-task-0021,ipfs_add,True,,820,1784132470685,167835,,False
50,e10-resource-c32-r2,e10-resource-c32-r2-task-0030,ipfs_add,True,,794,1784132470711,108995,,False
51,e10-resource-c32-r2,e10-resource-c32-r2-task-0025,ipfs_add,True,,811,1784132470695,142370,,False
52,e10-resource-c32-r2,e10-resource-c32-r2-task-0002,ipfs_add,True,,855,1784132470654,243506,,False
53,e10-resource-c32-r2,e10-resource-c32-r2-task-0020,fabric_post_task,True,,759,1784132471488,138253,QmcFmVy7dGoGjJAxFrxsWH1HT7XiZc5bjgbeyFUUDsSZui,False
