seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,ipfs_add,True,,25,1784132023315,149047,,True
2,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,fabric_post_task,True,,2490,1784132023340,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,fabric_post_allocation,True,,2575,1784132025830,0,,True
4,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,fabric_post_snapshot,True,,2470,1784132028405,0,,True
5,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,fabric_query_confirmation,True,,396,1784132030875,0,,True
6,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,fabric_vote_1,True,,2512,1784132031271,0,,True
7,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,fabric_vote_2,True,,2531,1784132033783,0,,True
8,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,fabric_settlement,True,,2515,1784132036314,0,,True
9,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,fabric_query_final,True,,1204,1784132038829,0,,True
10,e10-resource-c16-r1,e10-resource-c16-r1-warmup-0000,ipfs_verify,True,,7,1784132040033,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,e10-resource-c16-r1,e10-resource-c16-r1-task-0000,ipfs_add,True,,88,1784132040042,149047,,False
12,e10-resource-c16-r1,e10-resource-c16-r1-task-0009,ipfs_add,True,,98,1784132040054,100643,,False
13,e10-resource-c16-r1,e10-resource-c16-r1-task-0010,ipfs_add,True,,112,1784132040061,125535,,False
14,e10-resource-c16-r1,e10-resource-c16-r1-task-0008,ipfs_add,True,,139,1784132040052,125664,,False
15,e10-resource-c16-r1,e10-resource-c16-r1-task-0011,ipfs_add,True,,149,1784132040059,125609,,False
16,e10-resource-c16-r1,e10-resource-c16-r1-task-0015,ipfs_add,True,,158,1784132040069,126519,,False
17,e10-resource-c16-r1,e10-resource-c16-r1-task-0012,ipfs_add,True,,186,1784132040060,128260,,False
18,e10-resource-c16-r1,e10-resource-c16-r1-task-0014,ipfs_add,True,,198,1784132040065,128097,,False
19,e10-resource-c16-r1,e10-resource-c16-r1-task-0003,ipfs_add,True,,240,1784132040043,227419,,False
20,e10-resource-c16-r1,e10-resource-c16-r1-task-0013,ipfs_add,True,,239,1784132040063,151871,,False
21,e10-resource-c16-r1,e10-resource-c16-r1-task-0007,ipfs_add,True,,275,1784132040051,208548,,False
22,e10-resource-c16-r1,e10-resource-c16-r1-task-0004,ipfs_add,True,,320,1784132040044,293643,,False
23,e10-resource-c16-r1,e10-resource-c16-r1-task-0002,ipfs_add,True,,353,1784132040042,243506,,False
24,e10-resource-c16-r1,e10-resource-c16-r1-task-0001,ipfs_add,True,,413,1784132040042,234739,,False
25,e10-resource-c16-r1,e10-resource-c16-r1-task-0006,ipfs_add,True,,434,1784132040049,252663,,False
26,e10-resource-c16-r1,e10-resource-c16-r1-task-0005,ipfs_add,True,,469,1784132040046,243938,,False
27,e10-resource-c16-r1,e10-resource-c16-r1-task-0006,fabric_post_task,True,,613,1784132040483,252663,QmYZRdAoUuiXfb85BrW8eNcGqiM29LZbVnnv73faj47XUR,False
28,e10-resource-c16-r1,e10-resource-c16-r1-task-0000,fabric_post_task,True,,966,1784132040131,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
29,e10-resource-c16-r1,e10-resource-c16-r1-task-0007,fabric_post_task,True,,774,1784132040326,208548,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,False
30,e10-resource-c16-r1,e10-resource-c16-r1-task-0002,fabric_post_task,True,,706,1784132040395,243506,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
31,e10-resource-c16-r1,e10-resource-c16-r1-task-0009,fabric_post_task,True,,950,1784132040153,100643,QmPZTXi5SebnzZ355urJSzXWsYA3QE553pzUVpJzyVgzHU,False
32,e10-resource-c16-r1,e10-resource-c16-r1-task-0001,fabric_post_task,True,,649,1784132040455,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
33,e10-resource-c16-r1,e10-resource-c16-r1-task-0011,fabric_post_task,True,,897,1784132040208,125609,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,False
34,e10-resource-c16-r1,e10-resource-c16-r1-task-0014,fabric_post_task,True,,846,1784132040263,128097,QmWMGWGSJSvWG7tjbL6BYNhrhZ8ZnLpwhf4nt56Sso3y2t,False
35,e10-resource-c16-r1,e10-resource-c16-r1-task-0010,fabric_post_task,True,,937,1784132040173,125535,QmNfQ8SHKYarJCLeUyLykV2FdwKZ55b4bPhBedRxjc24Ek,False
36,e10-resource-c16-r1,e10-resource-c16-r1-task-0015,fabric_post_task,True,,884,1784132040227,126519,QmXCxqvbVnqfsG2xgggHL4parfqkapTpYBpQaV9143YBQ8,False
37,e10-resource-c16-r1,e10-resource-c16-r1-task-0003,fabric_post_task,True,,1441,1784132040283,227419,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
