seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,ipfs_add,true,27,1783271116285,149047,,true
2,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,signed_posttask,true,3,1783271116312,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
3,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,signed_postallocation,true,2,1783271116315,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
4,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,signed_post_evalsnapshot,true,1,1783271116317,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
5,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,signed_vote1,true,2,1783271116318,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
6,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,signed_vote2,true,1,1783271116320,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
7,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,signed_settlement,true,2,1783271116321,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
8,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,signed_query_latest,true,0,1783271116323,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
9,e6-lifecycle-20260705T170516.276225666Z-c1-real-warmup-0000,ipfs_verify,true,6,1783271116323,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,true
10,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,ipfs_add,true,24,1783271116333,208548,,false
11,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,signed_posttask,true,2,1783271116357,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,false
12,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,signed_postallocation,true,2,1783271116359,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,false
13,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,signed_post_evalsnapshot,true,1,1783271116361,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,false
14,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,signed_vote1,true,1,1783271116362,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,false
15,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,signed_vote2,true,2,1783271116363,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,false
16,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,signed_settlement,true,1,1783271116365,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,false
17,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,signed_query_latest,true,0,1783271116366,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,false
18,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0007,ipfs_verify,true,7,1783271116366,0,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,false
19,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,ipfs_add,true,26,1783271116373,125609,,false
20,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,signed_posttask,true,2,1783271116399,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,false
21,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,signed_postallocation,true,1,1783271116401,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,false
22,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,signed_post_evalsnapshot,true,2,1783271116402,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,false
23,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,signed_vote1,true,1,1783271116404,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,false
24,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,signed_vote2,true,1,1783271116405,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,false
25,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,signed_settlement,true,2,1783271116406,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,false
26,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,signed_query_latest,true,0,1783271116408,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,false
27,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0011,ipfs_verify,true,6,1783271116408,0,QmTHn3qYSPnWBBYUo7rNBNq2KzBKqxqfi4C8yCnsj3E8Sm,false
28,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0008,ipfs_add,true,23,1783271116414,125664,,false
29,e6-lifecycle-20260705T170516.276225666Z-c1-real-task-0008,signed_posttask,true,2,1783271116437,0,QmctbwpW2kxqcQhGGdzmH4uo5n3tYJGfu13qpeDrXZRiii,false
