seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,ipfs_add,true,32,1783272711757,179753,,true
2,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,signed_posttask,true,2,1783272711789,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
3,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,signed_postallocation,true,2,1783272711791,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
4,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,2,1783272711793,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
5,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,signed_vote1,true,1,1783272711795,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
6,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,signed_vote2,true,1,1783272711796,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
7,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,signed_settlement,true,2,1783272711797,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
8,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,signed_query_latest,true,0,1783272711799,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
9,e6-lifecycle-20260705T173151.736581598Z-c4-real-warmup-0000,ipfs_verify,true,7,1783272711799,0,QmZWeoNa4p2UHZojz7sGR6ZMpg28c83W6888nfSLG7GPvx,true
10,e6-lifecycle-20260705T173151.736581598Z-c4-real-task-0002,ipfs_add,true,42,1783272711811,276805,,false
11,e6-lifecycle-20260705T173151.736581598Z-c4-real-task-0002,signed_posttask,true,4,1783272711853,0,QmcdLhPd1PmVDyfzcK3LTMmfHteto8wZpLvf3cvgfxYF7Z,false
12,e6-lifecycle-20260705T173151.736581598Z-c4-real-task-0002,signed_postallocation,true,2,1783272711857,0,QmcdLhPd1PmVDyfzcK3LTMmfHteto8wZpLvf3cvgfxYF7Z,false
13,e6-lifecycle-20260705T173151.736581598Z-c4-real-task-0002,signed_post_evalsnapshot,true,2,1783272711859,0,QmcdLhPd1PmVDyfzcK3LTMmfHteto8wZpLvf3cvgfxYF7Z,false
14,e6-lifecycle-20260705T173151.736581598Z-c4-real-task-0002,signed_vote1,true,1,1783272711861,0,QmcdLhPd1PmVDyfzcK3LTMmfHteto8wZpLvf3cvgfxYF7Z,false
