seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,ipfs_add,true,30,1783314104319,905155,,true
2,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,signed_posttask,true,3,1783314104349,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
3,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,signed_postallocation,true,2,1783314104352,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
4,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,1,1783314104354,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
5,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,signed_vote1,true,2,1783314104355,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
6,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,signed_vote2,true,1,1783314104357,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
7,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,signed_settlement,true,1,1783314104358,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
8,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,signed_query_latest,true,0,1783314104359,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
9,e6-lifecycle-20260706T050144.302064396Z-c4-real-warmup-0000,ipfs_verify,true,23,1783314104359,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,true
10,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,ipfs_add,true,29,1783314104388,905155,,false
11,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,signed_posttask,true,3,1783314104417,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
12,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,signed_postallocation,true,2,1783314104420,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
13,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,signed_post_evalsnapshot,true,1,1783314104422,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
14,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,signed_vote1,true,1,1783314104423,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
15,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,signed_vote2,true,2,1783314104424,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
16,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,signed_settlement,true,1,1783314104426,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
17,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,signed_query_latest,true,0,1783314104427,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
18,e6-lifecycle-20260706T050144.302064396Z-c4-real-task-0000,ipfs_verify,true,11,1783314104427,0,QmYrVrnKmEvzwGtapnbmEcFWRGTqFTmLR5mBGP8T8FExw9,false
