seq,task_id,op,success,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,ipfs_add,true,52,1783272757424,2041,,true
2,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,signed_posttask,true,2,1783272757476,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
3,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,signed_postallocation,true,2,1783272757478,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
4,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,signed_post_evalsnapshot,true,3,1783272757480,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
5,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,signed_vote1,true,2,1783272757483,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
6,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,signed_vote2,true,1,1783272757485,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
7,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,signed_settlement,true,2,1783272757486,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
8,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,signed_query_latest,true,0,1783272757488,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
9,e6-lifecycle-20260705T173237.406901391Z-c4-real-warmup-0000,ipfs_verify,true,9,1783272757488,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,true
10,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,ipfs_add,true,28,1783272757506,1666,,false
11,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,signed_posttask,true,4,1783272757534,0,QmdSd9pjj1twsznRx6uZJeXFdtGiEY3Nn6QmQrPgRMBbaZ,false
12,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,signed_postallocation,true,2,1783272757538,0,QmdSd9pjj1twsznRx6uZJeXFdtGiEY3Nn6QmQrPgRMBbaZ,false
13,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,signed_post_evalsnapshot,true,1,1783272757540,0,QmdSd9pjj1twsznRx6uZJeXFdtGiEY3Nn6QmQrPgRMBbaZ,false
14,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,signed_vote1,true,2,1783272757541,0,QmdSd9pjj1twsznRx6uZJeXFdtGiEY3Nn6QmQrPgRMBbaZ,false
15,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,signed_vote2,true,2,1783272757543,0,QmdSd9pjj1twsznRx6uZJeXFdtGiEY3Nn6QmQrPgRMBbaZ,false
16,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,signed_settlement,true,1,1783272757545,0,QmdSd9pjj1twsznRx6uZJeXFdtGiEY3Nn6QmQrPgRMBbaZ,false
17,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,signed_query_latest,true,0,1783272757546,0,QmdSd9pjj1twsznRx6uZJeXFdtGiEY3Nn6QmQrPgRMBbaZ,false
18,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,ipfs_add,true,47,1783272757506,2041,,false
19,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0095,ipfs_verify,true,8,1783272757546,0,QmdSd9pjj1twsznRx6uZJeXFdtGiEY3Nn6QmQrPgRMBbaZ,false
20,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,signed_posttask,true,5,1783272757553,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
21,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,signed_postallocation,true,2,1783272757558,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
22,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,signed_post_evalsnapshot,true,1,1783272757560,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
23,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,signed_vote1,true,2,1783272757561,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
24,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,signed_vote2,true,2,1783272757563,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
25,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,signed_settlement,true,2,1783272757565,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
26,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,signed_query_latest,true,0,1783272757567,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
27,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,ipfs_add,true,68,1783272757506,1691,,false
28,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0000,ipfs_verify,true,8,1783272757567,0,QmZpceyXD65orbHnVn4w3sPB8ea42LnxKYXnQkqH8QFV8f,false
29,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,signed_posttask,true,2,1783272757574,0,QmWLjQroE5HFCEHpAAXxtDJw9HMkY6m5xMyNL3BCoktNFe,false
30,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,signed_postallocation,true,2,1783272757576,0,QmWLjQroE5HFCEHpAAXxtDJw9HMkY6m5xMyNL3BCoktNFe,false
31,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,signed_post_evalsnapshot,true,2,1783272757578,0,QmWLjQroE5HFCEHpAAXxtDJw9HMkY6m5xMyNL3BCoktNFe,false
32,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,signed_vote1,true,1,1783272757580,0,QmWLjQroE5HFCEHpAAXxtDJw9HMkY6m5xMyNL3BCoktNFe,false
33,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,signed_vote2,true,2,1783272757581,0,QmWLjQroE5HFCEHpAAXxtDJw9HMkY6m5xMyNL3BCoktNFe,false
34,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,signed_settlement,true,2,1783272757583,0,QmWLjQroE5HFCEHpAAXxtDJw9HMkY6m5xMyNL3BCoktNFe,false
35,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,signed_query_latest,true,0,1783272757585,0,QmWLjQroE5HFCEHpAAXxtDJw9HMkY6m5xMyNL3BCoktNFe,false
36,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0001,ipfs_verify,true,7,1783272757585,0,QmWLjQroE5HFCEHpAAXxtDJw9HMkY6m5xMyNL3BCoktNFe,false
37,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,ipfs_add,true,95,1783272757506,2250,,false
38,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,signed_posttask,true,1,1783272757601,0,QmXUCNGHMpTciMXWytGi2sfx8616VuyyUoqZa3oAtvFoDt,false
39,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,signed_postallocation,true,2,1783272757602,0,QmXUCNGHMpTciMXWytGi2sfx8616VuyyUoqZa3oAtvFoDt,false
40,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,signed_post_evalsnapshot,true,2,1783272757604,0,QmXUCNGHMpTciMXWytGi2sfx8616VuyyUoqZa3oAtvFoDt,false
41,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,signed_vote1,true,2,1783272757606,0,QmXUCNGHMpTciMXWytGi2sfx8616VuyyUoqZa3oAtvFoDt,false
42,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,signed_vote2,true,2,1783272757608,0,QmXUCNGHMpTciMXWytGi2sfx8616VuyyUoqZa3oAtvFoDt,false
43,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,signed_settlement,true,1,1783272757610,0,QmXUCNGHMpTciMXWytGi2sfx8616VuyyUoqZa3oAtvFoDt,false
44,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,signed_query_latest,true,0,1783272757611,0,QmXUCNGHMpTciMXWytGi2sfx8616VuyyUoqZa3oAtvFoDt,false
45,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0058,ipfs_verify,true,7,1783272757611,0,QmXUCNGHMpTciMXWytGi2sfx8616VuyyUoqZa3oAtvFoDt,false
46,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0255,ipfs_add,true,67,1783272757554,1650,,false
47,e6-lifecycle-20260705T173237.406901391Z-c4-real-task-0255,signed_posttask,true,2,1783272757621,0,QmShJ7kpkti4YE6UAoU3vGkK7ayqB2qDgXzzhbDE3arDFM,false
