seq,run_id,task_id,op,success,error,latency_ms,started_at_ms,bytes_sent,cid,warmup
1,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,ipfs_add,True,,26,1784131883798,149047,,True
2,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,fabric_post_task,True,,2506,1784131883824,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
3,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,fabric_post_allocation,True,,2532,1784131886330,0,,True
4,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,fabric_post_snapshot,True,,2493,1784131888862,0,,True
5,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,fabric_query_confirmation,True,,412,1784131891355,0,,True
6,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,fabric_vote_1,True,,2508,1784131891767,0,,True
7,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,fabric_vote_2,True,,2508,1784131894275,0,,True
8,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,fabric_settlement,True,,2514,1784131896783,0,,True
9,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,fabric_query_final,True,,1228,1784131899297,0,,True
10,e10-resource-c8-r3,e10-resource-c8-r3-warmup-0000,ipfs_verify,True,,8,1784131900525,0,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,True
11,e10-resource-c8-r3,e10-resource-c8-r3-task-0000,ipfs_add,True,,71,1784131900534,149047,,False
12,e10-resource-c8-r3,e10-resource-c8-r3-task-0002,ipfs_add,True,,88,1784131900535,243506,,False
13,e10-resource-c8-r3,e10-resource-c8-r3-task-0001,ipfs_add,True,,105,1784131900535,234739,,False
14,e10-resource-c8-r3,e10-resource-c8-r3-task-0003,ipfs_add,True,,120,1784131900537,227419,,False
15,e10-resource-c8-r3,e10-resource-c8-r3-task-0007,ipfs_add,True,,131,1784131900544,208548,,False
16,e10-resource-c8-r3,e10-resource-c8-r3-task-0006,ipfs_add,True,,153,1784131900542,252663,,False
17,e10-resource-c8-r3,e10-resource-c8-r3-task-0004,ipfs_add,True,,175,1784131900538,293643,,False
18,e10-resource-c8-r3,e10-resource-c8-r3-task-0005,ipfs_add,True,,189,1784131900541,243938,,False
19,e10-resource-c8-r3,e10-resource-c8-r3-task-0004,fabric_post_task,True,,2477,1784131900713,293643,QmfTn2wEWKDdRnBVTP2EGggc2fLS2zysR49b3UxS8iRGQd,False
20,e10-resource-c8-r3,e10-resource-c8-r3-task-0000,fabric_post_task,True,,2587,1784131900605,149047,QmTk9gWSNh7mPp2arVdFSEctXnM51KLoKAHU7hg86d6nqA,False
21,e10-resource-c8-r3,e10-resource-c8-r3-task-0006,fabric_post_task,True,,2497,1784131900695,252663,QmYZRdAoUuiXfb85BrW8eNcGqiM29LZbVnnv73faj47XUR,False
22,e10-resource-c8-r3,e10-resource-c8-r3-task-0003,fabric_post_task,True,,2536,1784131900657,227419,QmWAoR4a7cqHhV4o9R3N8rDsjPcNcWMkHL8Z5WcS1mgxri,False
23,e10-resource-c8-r3,e10-resource-c8-r3-task-0001,fabric_post_task,True,,2553,1784131900640,234739,Qma1RJpxavhCKsK5WfCyMQHBPby5KyZC1zpvvM2W6Z2QQm,False
24,e10-resource-c8-r3,e10-resource-c8-r3-task-0007,fabric_post_task,True,,2519,1784131900675,208548,QmV6SPe4ZAJ1dkdfdsHfBRkoRm4Ajq8ATPTEyByLbxJSnX,False
25,e10-resource-c8-r3,e10-resource-c8-r3-task-0005,fabric_post_task,True,,2464,1784131900730,243938,QmbhenpmX42tDu32tHki9hDD4g4UQfD84SWxsxuPQVG3k2,False
26,e10-resource-c8-r3,e10-resource-c8-r3-task-0002,fabric_post_task,True,,2573,1784131900623,243506,QmU3U9h9muSPZBc7BsiUCPuhCQkGouMwQZkMrRRDKeUnBs,False
27,e10-resource-c8-r3,e10-resource-c8-r3-task-0005,fabric_post_allocation,True,,2371,1784131903194,0,,False
28,e10-resource-c8-r3,e10-resource-c8-r3-task-0001,fabric_post_allocation,True,,2373,1784131903193,0,,False
29,e10-resource-c8-r3,e10-resource-c8-r3-task-0004,fabric_post_allocation,True,,2377,1784131903190,0,,False
30,e10-resource-c8-r3,e10-resource-c8-r3-task-0006,fabric_post_allocation,True,,2375,1784131903192,0,,False
31,e10-resource-c8-r3,e10-resource-c8-r3-task-0003,fabric_post_allocation,True,,2376,1784131903193,0,,False
32,e10-resource-c8-r3,e10-resource-c8-r3-task-0007,fabric_post_allocation,True,,2376,1784131903194,0,,False
33,e10-resource-c8-r3,e10-resource-c8-r3-task-0002,fabric_post_allocation,True,,2374,1784131903196,0,,False
34,e10-resource-c8-r3,e10-resource-c8-r3-task-0000,fabric_post_allocation,True,,2379,1784131903192,0,,False
